anchor_date,actual_trading_date,sector,sector_score,metric,current_value,five_year_average,metric_coefficient,metric_weight,source,comment,status
2026-05-20,2026-05-20,Semiconductors,1.9174,ps,18.2889,9.5615,1.9128,0.2667,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-05-20,2026-05-20,Semiconductors,1.9174,pb,16.5377,8.8324,1.8724,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-05-20,2026-05-20,Semiconductors,1.9174,ev_ebitda,33.7123,13.6494,2.4699,0.3333,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-05-20,2026-05-20,Semiconductors,1.9174,gross_margin,0.5788,0.5524,1.0478,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-05-30,2026-05-29,Semiconductors,1.9411,ps,19.0278,9.5615,1.99,0.2667,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-05-30,2026-05-29,Semiconductors,1.9411,pb,16.5811,8.8324,1.8773,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-05-30,2026-05-29,Semiconductors,1.9411,ev_ebitda,33.7975,13.6494,2.4761,0.3333,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-05-30,2026-05-29,Semiconductors,1.9411,gross_margin,0.5788,0.5524,1.0478,0.2,compute_sector_scores.py over SEC EDGAR fundamentals,real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Semiconductors,1.3505,ps,14.7989,9.5615,1.5478,0.2667,build_fy_norm.py --current over SEC EDGAR; fyn_semis_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_semis_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Semiconductors,1.3505,pb,12.67795,8.8324,1.4354,0.2,build_fy_norm.py --current over SEC EDGAR; fyn_semis_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_semis_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Semiconductors,1.3505,ev_ebitda,16.4495,13.6494,1.2051,0.3333,build_fy_norm.py --current over SEC EDGAR; fyn_semis_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_semis_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
2026-09-11,2026-09-10,Semiconductors,1.3505,gross_margin,0.6877,0.5524,1.2449,0.2,build_fy_norm.py --current over SEC EDGAR; fyn_semis_current_summary.csv; price source: Nasdaq historical API close,current TTM snapshot from fyn_semis_current_summary.csv; price source: Nasdaq historical API close; real 5Y FY median norm from fyn_semis_norm_summary.csv; aggregate=median,ok
